"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Environmental Information Processing","Signaling molecules and interaction","hsa04514","Cell adhesion molecule (CAM) interaction","46/664","160/9411",0.2875,4.07479292168675,10.8076385469813,3.94286345079163e-17,1.38788793467865e-14,1.38788793467865e-14,"CD34/CD40/OCLN/HLA-DPA1/ALCAM/ITGB8/SLITRK3/CDH1/SELP/ITGA8/CLDN10/NRCAM/SELE/CLDN3/CDH3/HLA-DRB1/HLA-DQA1/CADM3/VTCN1/HLA-DPB1/HLA-DRB5/CLDN5/NRXN2/SELL/HLA-DRB3/CD22/CLDN7/HLA-DQA2/NFASC/NCAM1/HLA-DRB4/CDH5/ICAM2/ITGA6/PECAM1/CXADR/JAM3/HLA-DRA/ICAM1/L1CAM/SIGLEC1/JAM2/VCAM1/NLGN1/HLA-DQB1/HLA-E",46
"Cellular Processes","Cell motility","hsa04820","Cytoskeleton in muscle cells","50/664","233/9411",0.214592274678112,3.04145767619836,8.69347886162974,5.7866934871872e-13,1.01845805374495e-10,1.01845805374495e-10,"THBS4/FHL2/TLN1/ANK2/MYL9/DSP/THBS1/THBS2/COL4A3/NID2/ITGB8/COL4A6/DSG2/PDLIM3/ITGA8/TPM1/BGN/LMNA/CSRP1/DES/COMP/LMOD1/FLNC/COL6A2/ENO2/COL4A4/TMOD3/NEBL/SGCE/SYNE3/COL6A1/COL11A1/ELN/ITGA7/TPM2/MYOZ3/ITGA6/ITGA5/FHL1/PDLIM5/LDB3/ANK3/MYH11/DMD/ACTC1/PDLIM7/ACTG2/DCN/SPTAN1/LMNB1",50
"Environmental Information Processing","Signaling molecules and interaction","hsa04518","Integrin signaling","36/664","154/9411",0.233766233766234,3.3132138945392,7.97425848097742,8.75602785480707e-11,1.02737393496403e-08,1.02737393496403e-08,"THBS4/FLT1/TLN1/KDR/PIK3R1/THBS1/THBS2/COL4A3/ITGB8/COL4A6/PDGFD/CDH1/ITGA8/COMP/VEGFD/C3/TNC/COL6A2/COL4A4/FLNA/COL6A1/TNXB/MET/LIMS2/ICAM2/ITGA7/ITGA6/ITGA5/LIMS1/ICAM1/CCND2/VWF/PDGFA/VCAM1/LAMA4/LAMB2",36
"Human Diseases","Infectious disease: bacterial","hsa05150","Staphylococcus aureus infection","27/664","99/9411",0.272727272727273,3.86541621029573,7.89647228165082,5.28365529457927e-10,4.64961665922975e-08,4.64961665922975e-08,"FPR1/C4A/C1S/HLA-DPA1/CFD/SELP/HLA-DRB1/HLA-DQA1/C4B/HLA-DPB1/HLA-DRB5/C3/FCGR2C/CFH/HLA-DRB3/C1QA/HLA-DQA2/HLA-DRB4/C1R/FCGR2A/C1QB/HLA-DRA/ICAM1/C2/HLA-DQB1/C4B_2/FCGR2B",27
"Organismal Systems","Immune system","hsa04610","Complement and coagulation cascades","24/664","89/9411",0.269662921348315,3.82198456748342,7.3696078106307,6.2249420786585e-09,4.38235922337559e-07,4.38235922337559e-07,"C4A/A2M/C1S/CFD/SERPINE2/SERPIND1/C4B/SERPINE1/C3/CFH/C7/THBD/C1QA/C1R/C1QB/CLU/VWF/C2/SERPING1/VSIG4/C4B_2/CFHR1/PROS1/PLAT",24
"Human Diseases","Immune disease","hsa05310","Asthma","13/664","32/9411",0.40625,5.75785956325301,7.4277559904804,9.47901251019728e-08,5.3797295511469e-06,5.3797295511469e-06,"FCER1A/CD40/HLA-DPA1/HLA-DRB1/HLA-DQA1/HLA-DPB1/HLA-DRB5/HLA-DRB3/HLA-DQA2/HLA-DRB4/CCL11/HLA-DRA/HLA-DQB1",13
"Human Diseases","Infectious disease: viral","hsa05166","Human T-cell leukemia virus 1 infection","39/664","224/9411",0.174107142857143,2.46765409853701,6.12505722863625,1.06983258119399e-07,5.3797295511469e-06,5.3797295511469e-06,"CRTC3/DLG1/TLN1/IL15/CD40/PIK3R1/HLA-DPA1/CCNE2/HLA-DRB1/ZFP36/CCNA2/HLA-DQA1/MAP3K1/HLA-DPB1/HLA-DRB5/MAD2L1/MSX1/NFATC1/HLA-DRB3/KRAS/STAT5B/HLA-DQA2/HLA-DRB4/CHEK1/ATR/CCNB2/MSX2/BUB1B/CDKN1A/HLA-DRA/PTTG1/ICAM1/CDC20/EGR1/CCND2/FOS/HLA-DQB1/EGR2/HLA-E",39
"Environmental Information Processing","Signal transduction","hsa04151","PI3K-Akt signaling pathway","52/664","362/9411",0.143646408839779,2.03592824336018,5.53774499248588,5.48491337275501e-07,2.4133618840122e-05,2.4133618840122e-05,"THBS4/FGF9/FLT1/IL7R/KDR/FGF7/PIK3R1/THBS1/THBS2/COL4A3/GHR/EIF4E/ITGB8/COL4A6/PDGFD/ITGA8/NGF/CCNE2/MAGI1/NTRK2/COMP/NR4A1/CSF1R/VEGFD/C8orf44-SGK3/TNC/COL6A2/BRCA1/NGFR/ERBB3/KRAS/COL4A4/SGK3/PPP2R5C/ERBB4/COL6A1/TNXB/MET/HSP90AA1/ITGA7/ITGA6/ITGA5/CDKN1A/FLT3LG/FGFR2/IL4R/CCND2/VWF/PDGFA/FGFR1/LAMA4/LAMB2",52
"Environmental Information Processing","Signaling molecules and interaction","hsa04512","ECM-receptor interaction","21/664","89/9411",0.235955056179775,3.34423649654799,6.12196955078747,6.5037694156498e-07,2.54369648256526e-05,2.54369648256526e-05,"THBS4/THBS1/THBS2/COL4A3/ITGB8/COL4A6/ITGA8/COMP/TNC/COL6A2/COL4A4/COL6A1/TNXB/ITGA7/ITGA6/ITGA5/VWF/CD44/LAMA4/LAMB2/HMMR",21
"Human Diseases","Infectious disease: parasitic","hsa05144","Malaria","15/664","50/9411",0.3,4.2519578313253,6.35211091962877,1.00438488498303e-06,3.53543479514027e-05,3.53543479514027e-05,"GYPC/THBS4/CD40/THBS1/THBS2/SELP/SELE/COMP/LRP1/MET/CCL2/PECAM1/ICAM1/ACKR1/VCAM1",15
"Organismal Systems","Immune system","hsa04640","Hematopoietic cell lineage","22/664","100/9411",0.22,3.11810240963855,5.86675671512067,1.27166759923212e-06,4.06933631754278e-05,4.06933631754278e-05,"CD34/IL7R/HLA-DPA1/IL11RA/HLA-DRB1/HLA-DQA1/HLA-DPB1/HLA-DRB5/CSF1R/HLA-DRB3/CD22/CD24/HLA-DQA2/HLA-DRB4/ITGA6/ITGA5/FLT3LG/HLA-DRA/IL4R/MME/HLA-DQB1/CD44",22
"Human Diseases","Cardiovascular disease","hsa05418","Fluid shear stress and atherosclerosis","27/664","142/9411",0.190140845070423,2.69490285083998,5.60688733458062,1.74466850828071e-06,4.79907815319075e-05,4.79907815319075e-05,"KDR/BMP4/PIK3R1/NCF2/MAP2K6/GSTM4/SELE/DUSP1/MEF2C/MMP2/THBD/GSTM3/CDH5/HSP90AA1/CCL2/PECAM1/TXN/ICAM1/HMOX1/GSTM1/FOS/PDGFA/VCAM1/CAV1/KLF2/GSTM5/PLAT",27
"Cellular Processes","Cellular community - eukaryotes","hsa04510","Focal adhesion","34/664","203/9411",0.167487684729064,2.37383524244762,5.4519178691372,1.77238681793976e-06,4.79907815319075e-05,4.79907815319075e-05,"PPP1R12B/THBS4/FLT1/TLN1/KDR/MYL9/PIK3R1/THBS1/THBS2/COL4A3/ITGB8/COL4A6/PDGFD/ITGA8/COMP/VEGFD/TNC/COL6A2/COL4A4/FLNA/COL6A1/PIP5K1B/TNXB/MET/ITGA7/ITGA6/ITGA5/MYLK/CCND2/VWF/PDGFA/CAV1/LAMA4/LAMB2",34
"Cellular Processes","Cell growth and death","hsa04110","Cell cycle","28/664","158/9411",0.177215189873418,2.51170504804026,5.27963153047138,4.76280414910709e-06,0.00011650202763221,0.00011650202763221,"FBXO5/CDC6/CCNB1/ORC6/CCNE2/CCNA2/TRIP13/MAD2L1/BUB1/MCM4/AURKB/PPP2R5C/CHEK1/ATR/CCNB2/BUB1B/CDKN1A/SFN/PTTG1/CDKN1C/CDC20/GADD45B/CCND2/TTK/CDK1/PCNA/DBF4/NDC80",28
"Human Diseases","Cardiovascular disease","hsa05416","Viral myocarditis","17/664","70/9411",0.242857142857143,3.44206110154905,5.65012619829943,4.96457504114531e-06,0.00011650202763221,0.00011650202763221,"CD40/HLA-DPA1/HLA-DRB1/HLA-DQA1/HLA-DPB1/HLA-DRB5/HLA-DRB3/SGCE/HLA-DQA2/HLA-DRB4/CXADR/HLA-DRA/ICAM1/DMD/CAV1/HLA-DQB1/HLA-E",17
"Human Diseases","Endocrine and metabolic disease","hsa04940","Type I diabetes mellitus","13/664","44/9411",0.295454545454545,4.18753422782037,5.83888905385176,6.41719421109434e-06,0.000141178272644075,0.000141178272644075,"HLA-DPA1/HLA-DRB1/HLA-DQA1/HLA-DPB1/HLA-DRB5/CPE/HLA-DRB3/HLA-DQA2/HLA-DRB4/HSPD1/HLA-DRA/HLA-DQB1/HLA-E",13
"Human Diseases","Immune disease","hsa05330","Allograft rejection","12/664","39/9411",0.307692307692308,4.36098239110287,5.79470976656265,9.15947894810119e-06,0.000189655093513625,0.000189655093513625,"CD40/HLA-DPA1/HLA-DRB1/HLA-DQA1/HLA-DPB1/HLA-DRB5/HLA-DRB3/HLA-DQA2/HLA-DRB4/HLA-DRA/HLA-DQB1/HLA-E",12
"Human Diseases","Cancer: overview","hsa05205","Proteoglycans in cancer","32/664","204/9411",0.156862745098039,2.22324592487597,4.86652633514737,1.45637124753338e-05,0.000284801488406527,0.000284801488406527,"PPP1R12B/RRAS/ANK2/KDR/FZD5/PIK3R1/THBS1/HCLS1/FZD4/HSPB2/FZD7/GPC3/ESR1/TIMP3/MMP2/ERBB3/KRAS/ITPR1/FLNA/ERBB4/MET/HBEGF/PTCH1/ITGA5/CDKN1A/ANK3/WNT2B/FZD6/CAV1/CD44/FGFR1/DCN",32
"Organismal Systems","Immune system","hsa04672","Intestinal immune network for IgA production","13/664","50/9411",0.26,3.68503012048193,5.24472026775777,2.95603894743006e-05,0.000547645110260727,0.000547645110260727,"CXCL12/IL15/CD40/HLA-DPA1/HLA-DRB1/HLA-DQA1/HLA-DPB1/HLA-DRB5/HLA-DRB3/HLA-DQA2/HLA-DRB4/HLA-DRA/HLA-DQB1",13
"Human Diseases","Immune disease","hsa05332","Graft-versus-host disease","12/664","45/9411",0.266666666666667,3.77951807228916,5.14929734093954,4.54864054705614e-05,0.00076991820052577,0.00076991820052577,"HLA-DPA1/HLA-DRB1/HLA-DQA1/HLA-DPB1/HLA-DRB5/HLA-DRB3/HLA-DQA2/HLA-DRB4/KLRC1/HLA-DRA/HLA-DQB1/HLA-E",12
"Organismal Systems","Immune system","hsa04612","Antigen processing and presentation","17/664","82/9411",0.207317073170732,2.93834484278578,4.85701797675965,4.59326199177306e-05,0.00076991820052577,0.00076991820052577,"HSPA6/CD74/HLA-DPA1/HLA-DRB1/HLA-DQA1/HLA-DPB1/HLA-DRB5/PDIA3/HLA-DRB3/HLA-DQA2/HLA-DRB4/KLRC1/HSP90AA1/HLA-DRA/HLA-DQB1/KLRC2/HLA-E",17
"Cellular Processes","Cell growth and death","hsa04115","p53 signaling pathway","16/664","75/9411",0.213333333333333,3.02361445783133,4.8476055263164,5.30121886150464e-05,0.000848195017840742,0.000848195017840742,"GTSE1/CCNB1/THBS1/RRM2/PERP/CCNE2/SERPINE1/PMAIP1/CHEK1/ATR/CCNB2/CDKN1A/SFN/GADD45B/CCND2/CDK1",16
"Human Diseases","Endocrine and metabolic disease","hsa04933","AGE-RAGE signaling pathway in diabetic complications","19/664","101/9411",0.188118811881188,2.66624418465943,4.63845963093777,6.88241752984765e-05,0.00105330911761147,0.00105330911761147,"PIK3R1/COL4A3/COL4A6/SELE/PLCB4/SERPINE1/VEGFD/NFATC1/MMP2/KRAS/PLCB1/COL4A4/STAT5B/THBD/CCL2/ICAM1/EGR1/AGTR1/VCAM1",19
"Human Diseases","Infectious disease: parasitic","hsa05140","Leishmaniasis","16/664","78/9411",0.205128205128205,2.90732159406858,4.66025715930788,8.74101285024833e-05,0.00128201521803642,0.00128201521803642,"HLA-DPA1/NCF2/HLA-DRB1/HLA-DQA1/HLA-DPB1/HLA-DRB5/C3/FCGR2C/HLA-DRB3/HLA-DQA2/HLA-DRB4/FCGR2A/NCF4/HLA-DRA/FOS/HLA-DQB1",16
"Human Diseases","Immune disease","hsa05322","Systemic lupus erythematosus","23/664","143/9411",0.160839160839161,2.27960443171287,4.24815182698669,0.000156151908151669,0.0021986188667755,0.0021986188667755,"CD40/C4A/C1S/HLA-DPA1/CTSG/HLA-DRB1/HLA-DQA1/C4B/HLA-DPB1/HLA-DRB5/C3/HLA-DRB3/C7/C1QA/HLA-DQA2/HLA-DRB4/C1R/FCGR2A/C1QB/HLA-DRA/C2/HLA-DQB1/C4B_2",23
"Human Diseases","Infectious disease: parasitic","hsa05143","African trypanosomiasis","10/664","37/9411",0.27027027027027,3.8305926408336,4.75296973403893,0.000173398826213949,0.00234755333951192,0.00234755333951192,"APOA1/IDO1/SELE/PLCB4/PLCB1/F2RL1/ICAM1/VCAM1/HPR/LAMA4",10
"Environmental Information Processing","Signal transduction","hsa04020","Calcium signaling pathway","34/664","254/9411",0.133858267716535,1.89719903234987,3.99372664569987,0.000212484530354505,0.0027701686920291,0.0027701686920291,"FGF9/FLT1/ADRB3/GNA14/TBXA2R/KDR/FGF7/MCOLN3/PTGFR/PLN/PDGFD/NGF/PLCB4/NTRK2/PDE1A/VEGFD/PTGER3/GNAL/NFATC1/ERBB3/PLCB1/ITPR1/ERBB4/PHKB/ATP2A3/MET/CAMK1G/MYLK/FGFR2/CASQ2/AGTR1/PDGFA/FGFR1/ATP2B1",34
"Human Diseases","Immune disease","hsa05320","Autoimmune thyroid disease","12/664","54/9411",0.222222222222222,3.1495983935743,4.36450687747104,0.000301667939831056,0.00374032050537401,0.00374032050537401,"CD40/HLA-DPA1/HLA-DRB1/HLA-DQA1/HLA-DPB1/HLA-DRB5/HLA-DRB3/HLA-DQA2/HLA-DRB4/HLA-DRA/HLA-DQB1/HLA-E",12
"Cellular Processes","Transport and catabolism","hsa04145","Phagocytosis","34/664","259/9411",0.131274131274131,1.86057356840489,3.86927117070846,0.000308151405272291,0.00374032050537401,0.00374032050537401,"THBS4/PIK3R1/THBS1/COLEC12/THBS2/DYNC1I1/HLA-DPA1/NCF2/COLEC11/CTSG/MRC1/HLA-DRB1/HLA-DQA1/COMP/HLA-DPB1/HLA-DRB5/C3/FCGR2C/HLA-DRB3/MRC2/SCARB1/VAMP2/ATG5/HLA-DQA2/STX18/HLA-DRB4/FCGR2A/ITGA5/NCF4/HLA-DRA/FCN1/HLA-DQB1/FCGR2B/HLA-E",34
"Organismal Systems","Immune system","hsa04670","Leukocyte transendothelial migration","19/664","116/9411",0.163793103448276,2.32147122974657,3.94558403899079,0.000450846466672665,0.00528993187562593,0.00528993187562593,"CXCL12/MYL9/OCLN/PIK3R1/NCF2/RAPGEF3/CLDN10/CLDN3/CLDN5/MMP2/CLDN7/CTNNA2/CDH5/PECAM1/JAM3/NCF4/ICAM1/JAM2/VCAM1",19
"Human Diseases","Immune disease","hsa05321","Inflammatory bowel disease","13/664","66/9411",0.196969696969697,2.79168948521358,4.02433705947302,0.000597523031254219,0.00678477764520919,0.00678477764520919,"MAF/HLA-DPA1/HLA-DRB1/HLA-DQA1/HLA-DPB1/HLA-DRB5/NFATC1/HLA-DRB3/HLA-DQA2/HLA-DRB4/HLA-DRA/IL4R/HLA-DQB1",13
"Organismal Systems","Immune system","hsa04658","Th1 and Th2 cell differentiation","16/664","93/9411",0.172043010752688,2.43839875631559,3.84068516785006,0.000718284862107362,0.00790113348318099,0.00790113348318099,"MAF/HLA-DPA1/PRKCQ/HLA-DRB1/HLA-DQA1/HLA-DPB1/HLA-DRB5/NFATC1/HLA-DRB3/STAT5B/HLA-DQA2/HLA-DRB4/HLA-DRA/IL4R/FOS/HLA-DQB1",16
"Human Diseases","Cardiovascular disease","hsa05412","Arrhythmogenic right ventricular cardiomyopathy","15/664","86/9411",0.174418604651163,2.47206850658448,3.77834938720481,0.000900712370443954,0.00944620636731774,0.00944620636731774,"DSP/ITGB8/DSG2/ITGA8/CACNB2/LMNA/DES/TCF7L1/SGCE/CTNNA2/ATP2A3/ITGA7/ITGA6/ITGA5/DMD",15
"Human Diseases","Immune disease","hsa05323","Rheumatoid arthritis","16/664","95/9411",0.168421052631579,2.38706404565631,3.74362953806871,0.000912417660479555,0.00944620636731774,0.00944620636731774,"FLT1/CXCL12/IL15/HLA-DPA1/HLA-DRB1/HLA-DQA1/HLA-DPB1/HLA-DRB5/HLA-DRB3/HLA-DQA2/HLA-DRB4/CCL2/HLA-DRA/ICAM1/FOS/HLA-DQB1",16
"Organismal Systems","Circulatory system","hsa04270","Vascular smooth muscle contraction","20/664","134/9411",0.149253731343284,2.11540190613199,3.58285548632934,0.00109256138419115,0.0109880459210081,0.0109880459210081,"PPP1R12B/CALD1/PLA2G4A/MYL9/PRKCQ/PLCB4/PLCB1/ITPR1/EDN3/NPR1/MYLK/MYH11/AGTR1/PLA2G5/RAMP3/ACTA2/ACTG2/PLA2G2A/KCNMB1/KCNMA1",20
"Human Diseases","Infectious disease: viral","hsa05165","Human papillomavirus infection","39/664","333/9411",0.117117117117117,1.65992347769456,3.37807972459121,0.00114811470940036,0.0112260104919146,0.0112260104919146,"THBS4/DLG1/FZD5/HEY2/PIK3R1/THBS1/THBS2/COL4A3/ITGB8/COL4A6/FZD4/FZD7/ITGA8/CCNE2/CCNA2/MAGI1/COMP/TCF7L1/TNC/COL6A2/KRAS/COL4A4/PPP2R5C/COL6A1/PATJ/TNXB/ATR/ITGA7/ITGA6/ITGA5/CDKN1A/MX1/WNT2B/CCND2/VWF/FZD6/LAMA4/LAMB2/HLA-E",39
"Environmental Information Processing","Signaling molecules and interaction","hsa04517","IgSF CAM signaling","35/664","299/9411",0.117056856187291,1.65906938791957,3.19087041253833,0.00203873560416564,0.0193700335080091,0.0193700335080091,"PMP22/ARPC3/ANK2/KDR/MYL9/PIK3R1/SSX2IP/PRKCQ/SLITRK3/CDH1/NRCAM/MAGI1/CADM3/SORBS1/SLIT3/NRP2/NFASC/NCAM1/SLIT2/ICAM2/ITGA5/CD2AP/CXADR/JAM3/MYLK/ANK3/ICAM1/ACTR2/L1CAM/MYH11/ROBO3/JAM2/NLGN1/FGFR1/SPTAN1",35
"Human Diseases","Infectious disease: parasitic","hsa05145","Toxoplasmosis","17/664","112/9411",0.151785714285714,2.15128818846816,3.37694684531748,0.00209108316279644,0.0193700335080091,0.0193700335080091,"CD40/HSPA6/HLA-DPA1/MAP2K6/HLA-DRB1/HLA-DQA1/HLA-DPB1/HLA-DRB5/LY96/HLA-DRB3/HLA-DQA2/HLA-DRB4/ITGA6/HLA-DRA/HLA-DQB1/LAMA4/LAMB2",17
"Organismal Systems","Digestive system","hsa04974","Protein digestion and absorption","16/664","103/9411",0.155339805825243,2.20166101298397,3.37848258185593,0.00219364775345849,0.0196916977028169,0.0196916977028169,"COL8A2/COL16A1/COL13A1/COL4A3/COL4A6/COL14A1/COL6A2/COL10A1/SLC3A1/COL4A4/CPA3/COL6A1/COL11A1/ELN/COL7A1/MME",16
"Organismal Systems","Development and regeneration","hsa04380","Osteoclast differentiation","20/664","142/9411",0.140845070422535,1.99622433395554,3.29559750146629,0.00223769292077465,0.0196916977028169,0.0196916977028169,"FHL2/TYROBP/FOSB/GAB2/PIK3R1/NCF2/MAP2K6/SOCS3/SIRPA/CSF1R/FCGR2C/BLNK/JUNB/NFATC1/ITPR1/ATP2A3/FCGR2A/NCF4/FOS/FCGR2B",20
"Human Diseases","Infectious disease: bacterial","hsa05133","Pertussis","13/664","78/9411",0.166666666666667,2.36219879518072,3.32833052767989,0.00295202562808595,0.025344220026494,0.025344220026494,"C4A/C1S/C4B/C3/LY96/C1QA/C1R/ITGA5/C1QB/C2/SERPING1/FOS/C4B_2",13
"Organismal Systems","Immune system","hsa04659","Th17 cell differentiation","16/664","109/9411",0.146788990825688,2.08046866364541,3.12598252061065,0.00393181933637235,0.0324263360327515,0.0324263360327515,"HLA-DPA1/PRKCQ/HLA-DRB1/HLA-DQA1/HLA-DPB1/HLA-DRB5/NFATC1/HLA-DRB3/STAT5B/HLA-DQA2/HLA-DRB4/HSP90AA1/HLA-DRA/IL4R/FOS/HLA-DQB1",16
"Environmental Information Processing","Signal transduction","hsa04010","MAPK signaling pathway","34/664","300/9411",0.113333333333333,1.60629518072289,2.94043110567942,0.00396117173127363,0.0324263360327515,0.0324263360327515,"FGF9/FLT1/RRAS/KDR/PLA2G4A/FGF7/HSPA6/MAP2K6/PDGFD/NGF/RPS6KA5/CACNB2/NTRK2/DUSP1/NR4A1/MAP3K1/CSF1R/VEGFD/MEF2C/DUSP4/NGFR/NFATC1/MECOM/ERBB3/KRAS/FLNA/ERBB4/MET/FLT3LG/FGFR2/GADD45B/FOS/PDGFA/FGFR1",34
"Environmental Information Processing","Signal transduction","hsa04350","TGF-beta signaling pathway","16/664","110/9411",0.145454545454545,2.06155531215772,3.0854849787778,0.00430938278285342,0.0344750622628274,0.0344750622628274,"BMP4/LEFTY2/THBS1/GREM2/MICOS10-NBL1/LRRC32/INHBA/BAMBI/FMOD/GREM1/EMP3/GDF7/NBL1/FST/BMP6/DCN",16
"Human Diseases","Drug resistance: antineoplastic","hsa01524","Platinum drug resistance","12/664","75/9411",0.16,2.26771084337349,3.03682456227085,0.00590756387862231,0.0462102774505568,0.0462102774505568,"BIRC5/PIK3R1/GSTM4/TOP2A/PMAIP1/BRCA1/REV3L/GSTM3/CDKN1A/GSTM1/MSH2/GSTM5",12
